id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
1;furthermore;generously;boo;gah because huzzah;slow;parody positively;until ew orientate;nudge;transcend of;outlying cute oh;repentant justly whoa;splosh;unlined airmail;underpants absent outnumber;warped;as foolishly mmm;bright legal;restaurant;inasmuch caring angelic;about;plus;floss successfully maintainer
2;chromakey;yawningly;regularly indeed psst;championship shrill;throughout uh-huh whereas;than;outlaw vast;equatorial improbable nippy;what westernize phew;geez during;underpants notarize allocation;what;repossess;trusty;muffled when overplay;outnumber amid oof;however;quart;wherever far;throughout numb;compassionate boastfully after;huzzah for
3;anticodon airbus;fondly as hm;besides;into snuggle;frizzy design;pinion;because around;instead hence tapioca;righteously;psst bah almighty;continually atop;before;finally apud;even where well-groomed;proofread extract indeed;who underneath;hubris save blaspheme;any proud rationalize;bah;carelessly;pointed;daily remand
4;natural fleck superficial;in;like vision;absent toward;maestro yahoo bah;tinderbox ugh;hence till;as;than baritone receptor;through;mmm upright congregate;softly;times pro enormously;the;warlike;round;provided;kooky amid subdued;queasily although;march;unbearably ha;wide-eyed
5;geez;numeracy acidly;innovate brr;sharply;meh busy past;bah inasmuch;kaleidoscopic thoughtfully implode;inborn until feline;middle;gadzooks;above;pinion as;regular metabolise;almighty noisily whenever;hmph for;seagull;enrich helpful;flickering;tuber;hence;shabby;gosh
6;onto unless cool;hmph duffel amid;lend once;innovate;upbeat unlucky mainstream;competent;once petal;dishonor yum fooey;since;who vice boo;boohoo;without accomplished;deafening steep by;ridge though;duh rectangular soybean;boohoo duh oh;micromanage than;heavily;between miserly;yearningly innocently nor;optimistically however newsstand;boohoo unless disposer
7;lighthearted heroine insolence;libel;bob foolishly;boo see;unabashedly before;terribly cruelly;trouser underneath phew;athwart bah;other apprehensive;following misreport irritably;punctuation dapper;boohoo;oddball phooey meanwhile;outlying aware;oof linear;emphasize plus;outflank unwelcome;alive;until winding whereas;behind intellect quart;fooey;embossing ha brook
8;mediocre helpfully hype;ick direct unlike;geez huzzah;unless whenever since;finger long-term;starch;connect second;zowie couch able;fast up quantify;ethical versus wonderful;handful tattered gum;tectonics adjudge;overfeed intrepid;selfish oh;toward anesthetize obnoxiously;declaration;tasty stylish;cop abaft;enlightened oh duh;profuse dishonor;wordy how oxygenate;once chiffonier
9;jury yahoo;augment plus aw;fooey voluntarily;rigidly but;roadway beyond;tall bonfire;consequently;before damaged;until ultimately;ah flustered incidentally;fumigate;tray;pave without;requirement finally tut;helpfully jive;anenst underneath;spook;untrue;able under because;pro whose punctual;mask;uproot
10;lonely that;unwritten quarrelsomely;divert shyly cheetah;widow usefully eek;object ordinary pension;service government;quarrelsomely;er zowie;round giving;on;truthfully;meanwhile injunction;selfishly excluding;sniff;concerning;minus exotic meh;until;besides guacamole grown;rudely yet now;undergo endow even;upset whose at;wearily sand foolishly
