id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
1;afore;conservative;cripple;yum afore although;until;amidst micromanage concerning;so;blank narrate wound;2025-04-30;2025-04-30;2025-04-29;orientate upbeat cleverly;shoddy;2025-04-29;2025-04-29;mature doubtfully;once ride now;versus summary colorfully;furthermore closely likewise;uh-huh solemnly floodlight;ah;now;ravage
2;to;solidly;undergo lobster fen;order magnetize pro;qua investigate sardonic;wry geez;surprisingly stealthily across;parched ouch;2025-04-29;2025-04-30;2025-04-30;from quick-witted;covenant;2025-04-30;2025-04-29;saw;aw;for;hungry whether;queasy sans past;scary;dispense;triumphantly earnest
3;fence chow woot;rim;frightfully;ultimately pertinent;weakly supposing unlike;toward yowza;bore antagonize battle;between though ditch;2025-04-29;2025-04-29;2025-04-29;how woot explode;whoa;2025-04-29;2025-04-29;warped psst right;than incidentally;unaware nervously;blah;yet because;unbalance;cone gosh;detective
4;lest so because;accidentally worth yippee;blah fuss cheerfully;toward;arrogantly including;shark neatly;upward with weep;barring debit;2025-04-30;2025-04-29;2025-04-29;uniform trial deploy;absolve oof;2025-04-29;2025-04-29;apud unto final;passionate likewise across;while aha;pile;nice milestone even;drat why;manner;beret
5;helplessly heavy;extremely dulcimer onset;ew;brr sternly;swanling lest;brown;extract uh-huh;helpfully impure draft;2025-04-29;2025-04-29;2025-04-30;worriedly short-term resolve;yet shyly apropos;2025-04-30;2025-04-30;whether oof;brr;bid;formula coliseum;between boohoo;afore into;before pace;buck
6;blah;earth considering;conclude bid frenetically;kissingly;slather rubric versus;intrigue tremendously;hotfoot;median excitedly;2025-04-29;2025-04-29;2025-04-29;cross boom aw;imagineer;2025-04-30;2025-04-29;stake;boss useless first;hundred the summary;vain whoever;tray;bakeware;limping;brief flawed state
7;boohoo shrilly oh;unto;without;crossly annually;tankful;needily because;ignorant unhealthy apropos;apud;2025-04-30;2025-04-30;2025-04-29;whereas shoot huzzah;ameliorate times;2025-04-30;2025-04-29;spattering competent;hmph roadway;keenly um;squeaky;tinderbox;inwardly pear expert;messy;before liberalize
8;keenly yet;athwart pushy whistle;coaxingly greatly although;valiantly brr ouch;appropriate amongst;likewise nippy;above intent doodle;save potentially;2025-04-29;2025-04-29;2025-04-29;angle;usefully;2025-04-29;2025-04-29;woot;ew lined bewail;availability;snuggle eek mysteriously;unto beside mysteriously;noisily scenario yahoo;fatally bleakly;experience slather
9;potentially jovially fedora;geez;and;notwithstanding;aboard;phooey;pish;huzzah damp stealthily;2025-04-29;2025-04-30;2025-04-30;mmm;eek other extremely;2025-04-29;2025-04-30;aboard incidentally if;superb beyond sweetly;lest pfft as;about manage;essential famously oh;lively fervently;amongst what blacken;um via whoever
10;likable absent;stupendous;aw when;jovially postbox however;clumsy;uneven;healthily;freezing aside that;2025-04-30;2025-04-30;2025-04-29;disposer;masquerade;2025-04-29;2025-04-30;once yet cutlet;carp onto athwart;geez carefully;clumsy shoot makeover;minister;as circa swiftly;seemingly;oh if besides
